cuke_num,weight_g,length_cm,girth_cm,inc_time_min,nh4_rate,trial,date,size_index
1,1190,53,21,92,18.76147967697321,TAN_TA,2020/09/10,33.361654635224554
2,742,42,18,92,22.091954528519917,TAN_TA,2020/09/10,27.49545416973504
3,524,34,17,95,19.22623434075039,TAN_TA,2020/09/10,24.041630560342615
4,1176,32,27,96,9.945224214779785,TAN_TA,2020/09/10,29.393876913398138
5,436,29,17,95,11.246630726955608,TAN_TA,2020/09/10,22.20360331117452
6,802,40,21,96,17.6900622821646,TAN_TA,2020/09/10,28.982753492378876
7,412,31,16,96,11.870664815344345,TAN_TA,2020/09/10,22.271057451320086
8,424,29,18,97,13.129358512314484,TAN_TA,2020/09/10,22.847319317591726
10,320,30,15,95,7.890173207398984,TAN_TA,2020/09/10,21.213203435596427
9,1014,37,20,98,18.413316863244656,TAN_TA,2020/09/10,27.202941017470888
1,528,45,13,120,13.234509542465398,fasting,2019/03/01,24.186773244895647
2,641,47,14,120,13.605404223654231,fasting,2019/03/01,25.65151067676132
3,719,41,18,120,13.780963511902517,fasting,2019/03/01,27.16615541441225
4,345,34,12,120,7.020698316635446,fasting,2019/03/01,20.199009876724155
5,840,51,18,120,15.114505266284144,fasting,2019/03/01,30.298514815086232
6,350,20,17,120,5.264497170806091,fasting,2019/03/01,18.439088914585774
7,596,40,14,120,11.473188394959326,fasting,2019/03/01,23.664319132398465
8,286,35,12,121,6.622789818626856,fasting,2019/03/01,20.493901531919196
9,436,29,13,120,7.68152580503888,fasting,2019/03/01,19.4164878389476
10,410,30,15,120,16.23645354586755,fasting,2019/03/01,21.213203435596427
11,367,28,14,120,7.12848090419414,fasting,2019/03/01,19.79898987322333
12,419,35,14,120,11.380532871744215,fasting,2019/03/01,22.135943621178654
13,1386,47,25,121,20.449927819201456,fasting,2020/07/01,34.27827300200522
14,190,19.2,13,121,16.13827035822508,fasting,2020/07/01,15.798734126505199
15,738,36,15,120,16.745268602677555,fasting,2020/07/01,23.2379000772445
16,1096,46,21,120,20.163491331751853,fasting,2020/07/01,31.080540535840107
17,658,38,18,120,15.605175841505348,fasting,2020/07/01,26.153393661244042
18,962,29,23,120,13.219982917302175,fasting,2020/07/01,25.826343140289914
19,998,43.1,21.5,120,20.13803803471237,fasting,2020/07/01,30.44092639851816
20,846,43,19,120,24.180361280685233,fasting,2020/07/01,28.583211855912904
22,1458,55,23,121,15.256809538875263,fasting,2020/07/01,35.566838487557476
23,444,36,17,121,10.085881930943362,fasting,2020/07/01,24.73863375370596
24,252,26,17,120,8.932809655811091,fasting,2020/07/01,21.02379604162864
25,1004,42,23,120,20.422790648153917,fasting,2020/08/01,31.080540535840107
26,888,35,21,120,26.1910204574088,fasting,2020/08/01,27.110883423451916
27,830,37,20,120,16.46587668634513,fasting,2020/08/01,27.202941017470888
28,906,39,18,120,22.263832584255702,fasting,2020/08/01,26.49528259898354
1,1303,28,29.549999999999997,66,16.0921491586061,dry_wet,2021/08/25,28.764561529771314
2,534,26.2,16.6,66,13.57884024389342,dry_wet,2021/08/25,20.854735673223
3,715,35.7,17.6,66,23.547306356616144,dry_wet,2021/08/25,25.06631205422928
4,615,26.450000000000003,19.65,67,16.126776659760697,dry_wet,2021/08/25,22.79786174183886
5,1081,35.4,21.25,66,12.703369701763062,dry_wet,2021/08/25,27.427176303804956
6,416,24,13.8,65,10.599716233159311,dry_wet,2021/08/25,18.19890106572372
7,301,32.65,13.3,65,12.232598137246242,dry_wet,2021/08/25,20.838546014537577
8,811,36.7,17.4,64,13.807756605876245,dry_wet,2021/08/25,25.270140482395423
9,243,22.1,10.65,65,9.326598048786304,dry_wet,2021/08/25,15.34161008499434
10,196,19.25,10.2,63,8.743572318850354,dry_wet,2021/08/25,14.012494424619765
