site,site_ID,depth,temp_est,sal_est,date,month,year,matrix,nh4_conc
RossSlug,BMSC10,4.6,NA,NA,2023-05-09,May,2023,NA,0.7684779472252642
RossSlug,BMSC10,4.6,NA,NA,2023-05-09,May,2023,NA,0.40344618067359445
RossSlug,BMSC10,4.6,NA,NA,2023-05-09,May,2023,NA,0.44511407536870107
WizardS,BMSC11,7,NA,NA,2023-05-16,May,2023,NA,0.06885122850742496
WizardS,BMSC11,7,NA,NA,2023-05-16,May,2023,NA,0.09810638695547853
WizardS,BMSC11,7,NA,NA,2023-05-16,May,2023,NA,0.04797057400401062
WizardN,BMSC12,7.5,NA,NA,2023-05-16,May,2023,NA,0.09231164885239936
WizardN,BMSC12,7.5,NA,NA,2023-05-16,May,2023,NA,0.13205417708864864
WizardN,BMSC12,7.5,NA,NA,2023-05-16,May,2023,NA,0.08883612790470514
DodgerChannel,BMSC1,5.3,NA,NA,2023-05-15,May,2023,NA,0.46910094635988087
DodgerChannel,BMSC1,5.3,NA,NA,2023-05-15,May,2023,NA,0.34072052371849315
DodgerChannel,BMSC1,5.3,NA,NA,2023-05-15,May,2023,NA,0.4145811906779214
Kirby,BMSC2,6.5,NA,NA,2023-05-09,May,2023,NA,0.09965261006687502
Kirby,BMSC2,6.5,NA,NA,2023-05-09,May,2023,NA,0.06092918664429842
Kirby,BMSC2,6.5,NA,NA,2023-05-09,May,2023,NA,0.34910030511626144
Ohiat,BMSC3,6.5,NA,NA,2023-05-12,May,2023,NA,0.41785858473457343
Ohiat,BMSC3,6.5,NA,NA,2023-05-12,May,2023,NA,0.1369884886670397
Ohiat,BMSC3,6.5,NA,NA,2023-05-12,May,2023,NA,0.269297964390508
Kiixin,BMSC4,7,NA,NA,2023-05-12,May,2023,NA,0.3012431381821084
Kiixin,BMSC4,7,NA,NA,2023-05-12,May,2023,NA,0.17545525242212184
Kiixin,BMSC4,7,NA,NA,2023-05-12,May,2023,NA,0.2294977388838631
Taylor,BMSC5,5.5,NA,NA,2023-05-15,May,2023,NA,0.42816583116841306
Taylor,BMSC5,5.5,NA,NA,2023-05-15,May,2023,NA,0.4942239840261129
Taylor,BMSC5,5.5,NA,NA,2023-05-15,May,2023,NA,0.2734976667249226
BaeriaSouthN,BMSC6,9,NA,NA,2023-05-17,May,2023,NA,0.2635444953764452
BaeriaSouthN,BMSC6,9,NA,NA,2023-05-17,May,2023,NA,0.3081896567778079
BaeriaSouthN,BMSC6,9,NA,NA,2023-05-17,May,2023,NA,0.296556999715839
EdKingSWPyramid,BMSC19,5.5,NA,NA,2023-05-10,May,2023,NA,0.5982002981467828
EdKingSWPyramid,BMSC19,5.5,NA,NA,2023-05-10,May,2023,NA,0.28369036506734835
EdKingSWPyramid,BMSC19,5.5,NA,NA,2023-05-10,May,2023,NA,0.6644698863405757
BaeriaNorthN,BMSC8,9,NA,NA,2023-05-17,May,2023,NA,0.2629673901770782
BaeriaNorthN,BMSC8,9,NA,NA,2023-05-17,May,2023,NA,0.30792524839561
BaeriaNorthN,BMSC8,9,NA,NA,2023-05-17,May,2023,NA,0.28991861089337606
Scotts,BMSC9,6,NA,NA,2023-05-11,May,2023,NA,0.5469224865339363
Scotts,BMSC9,6,NA,NA,2023-05-11,May,2023,NA,0.44207960511823136
Scotts,BMSC9,6,NA,NA,2023-05-11,May,2023,NA,0.6843810524297295
EdKingE,BMSC20,6,NA,NA,2023-05-10,May,2023,NA,0.7292490854427368
EdKingE,BMSC20,6,NA,NA,2023-05-10,May,2023,NA,0.5306778136707251
EdKingE,BMSC20,6,NA,NA,2023-05-10,May,2023,NA,0.6302986044118357
DixonSW,BMSC21,5.5,NA,NA,2023-05-08,May,2023,NA,0.05178387576756077
DixonSW,BMSC21,5.5,NA,NA,2023-05-08,May,2023,NA,0.08001278548014704
DixonSW,BMSC21,5.5,NA,NA,2023-05-08,May,2023,NA,0.26622954071693494
DixonInside,BMSC22,5.5,NA,NA,2023-05-08,May,2023,NA,0.9146015565419134
DixonInside,BMSC22,5.5,NA,NA,2023-05-08,May,2023,NA,0.7841462801760394
DixonInside,BMSC22,5.5,NA,NA,2023-05-08,May,2023,NA,0.7006642049258632
AguilarPt,BMSC23,6,NA,NA,2023-05-11,May,2023,NA,0.575727690661036
AguilarPt,BMSC23,6,NA,NA,2023-05-11,May,2023,NA,0.49388218749176294
AguilarPt,BMSC23,6,NA,NA,2023-05-11,May,2023,NA,0.39649135336339103
SwissBoy,BMSC24,9,NA,NA,2023-05-18,May,2023,NA,0.2882195651314183
SwissBoy,BMSC24,9,NA,NA,2023-05-18,May,2023,NA,0.16023789369369493
SwissBoy,BMSC24,9,NA,NA,2023-05-18,May,2023,NA,0.5354473937139448
GobyTown,BMSC25,5.5,NA,NA,2023-05-18,May,2023,NA,0.47676870014776757
GobyTown,BMSC25,5.5,NA,NA,2023-05-18,May,2023,NA,0.42703813907080834
GobyTown,BMSC25,5.5,NA,NA,2023-05-18,May,2023,NA,0.48374726200955265
HosieSouth,BMSC26,7,NA,NA,2023-05-19,May,2023,NA,0.12321969245992864
HosieSouth,BMSC26,7,NA,NA,2023-05-19,May,2023,NA,0.1120917286071426
SanJoseNorth,BMSC27,8,NA,NA,2023-05-19,May,2023,NA,0.14756309589313404
SanJoseNorth,BMSC27,8,NA,NA,2023-05-19,May,2023,NA,0.0971129699601788
SanJoseNorth,BMSC27,8,NA,NA,2023-05-19,May,2023,NA,0.05688561930123202
