date,site,site_code,sample,depth_m,nh4_inside,nh4_outside,in_minus_out
2022-07-04,Ross_slug,KCCA1,1,2,1.0394319075943264,0.7631485480392701,0.27628335955505623
2022-07-04,Ross_slug,KCCA1,2,2,1.0835784981923982,0.8914846739364044,0.19209382425599375
2022-07-04,Ross_slug,KCCA1,3,2,1.0972285203342678,0.8249192178584899,0.2723093024757779
2022-07-05,Between Scotts and Brady's,KCCA2,1,0.7,1.0251633022815345,1.2971569617872498,-0.2719936595057153
2022-07-05,Between Scotts and Brady's,KCCA2,2,0.7,0.7393993802307672,1.002768926079572,-0.2633695458488048
2022-07-05,Between Scotts and Brady's,KCCA2,3,0.7,0.7755064953874582,1.1304712965969863,-0.3549648012095281
2022-07-06,Dodger,KCCA3,1,2.3,0.8696851319270574,0.8808695333934932,-0.011184401466435734
2022-07-06,Dodger,KCCA3,2,2.3,0.8519293506106922,0.9037605651886108,-0.051831214577918616
2022-07-06,Dodger,KCCA3,3,2.3,0.795767988383317,0.8384819574078568,-0.04271396902453983
2022-07-07,Fleming112,KCCA4,1,4,1.3548716883958256,1.383573428441345,-0.028701740045519397
2022-07-07,Fleming112,KCCA4,2,3.5,1.1960878817856893,1.1931891404754715,0.002898741310217723
2022-07-07,Fleming112,KCCA4,3,3,0.8691182641418406,0.9825472719329741,-0.11342900779113352
2022-07-24,Less_dangerous_bay,KCCA6,1,4.9,0.08967547289613989,0.5891647963312943,-0.4994893234351544
2022-07-24,Less_dangerous_bay,KCCA6,2,4.9,0.11083731047865171,0.42739479039837,-0.3165574799197183
2022-07-24,Less_dangerous_bay,KCCA6,3,5,0.09702090412312746,0.33424772679138,-0.2372268226682525
2022-07-25,Ed_king_east_inside,KCCA7,1,2.9,1.728332841850036,1.4838553049014696,0.24447753694856655
2022-07-25,Ed_king_east_inside,KCCA7,2,2.8,1.8709821678359595,1.6052173608969416,0.26576480693901794
2022-07-25,Ed_king_east_inside,KCCA7,3,2.8,1.6856632886940894,1.1957408079237848,0.48992248077030465
2022-07-27,Wizard,KCCA9,1,4.2,0.8044049446734971,0.5552606708339102,0.24914427383958693
2022-07-27,Wizard,KCCA9,2,3.6,0.7489658895600151,0.5699366897585704,0.17902919980144472
2022-07-27,Wizard,KCCA9,3,3.8,0.6104221163291109,0.5495924625084062,0.06082965382070471
2022-08-03,North_helby_rock,KCCA12,1,4.1,0.9487361145625671,0.5157928795772833,0.43294323498528386
2022-08-03,North_helby_rock,KCCA12,2,3.8,0.6797540330830214,0.32903936078927865,0.35071467229374276
2022-08-03,North_helby_rock,KCCA12,3,3.9,0.6911390451863767,0.49218283092966586,0.19895621425671084
2022-08-05,second beach south,KCCA13,1,6.8,2.8201541400797825,2.9927368042944185,-0.17258266421463597
2022-08-05,second beach south,KCCA13,2,6.5,2.8664829974956225,2.820077436673465,0.04640556082215763
2022-08-05,second beach south,KCCA13,3,6.3,3.0042423152420605,2.7731349520070845,0.23110736323497605
2022-08-06,Danvers_danger_rock,KCCA14,1,1.5,0.6581760427161293,0.3535965183414188,0.3045795243747105
2022-08-06,Danvers_danger_rock,KCCA14,2,1.5,0.5654231371632102,0.3727972158327384,0.19262592133047185
2022-08-06,Danvers_danger_rock,KCCA14,3,1.9,0.7049309879060309,0.5371475274531268,0.16778346045290415
2022-08-07,Cable_beach,KCCA15,1,2.8,1.042828133174539,0.8958736171777018,0.1469545159968373
2022-08-07,Cable_beach,KCCA15,2,2.6,1.0805725527770285,1.0062749536358044,0.07429759914122402
2022-08-07,Cable_beach,KCCA15,3,2.6,1.0959801303049348,0.9497194134661088,0.14626071683882602
2022-08-18,Tzartus116,KCCA16,3,3.4,0.4810115167297472,0.5799225552660229,-0.0989110385362757
2022-08-18,Tzartus116,KCCA16,1,3.9,1.2506606373805191,1.0912442816325651,0.15941635574795399
2022-08-18,Tzartus116,KCCA16,2,3.6,0.9047789413353193,0.8216368852809711,0.08314205605434821
2022-08-20,Turf_island,KCCA17,1,1.8,0.6273307385871473,0.3273960726799244,0.2999346659072229
2022-08-20,Turf_island,KCCA17,2,1.8,0.5943512131148235,0.3471062759280732,0.24724493718675034
2022-08-20,Turf_island,KCCA17,3,1.8,0.5863047256464781,0.28013218642663873,0.30617253921983933
2022-08-21,Second_beach,KCCA18,1,4.2,2.1483545577918743,1.5972401194373869,0.5511144383544875
2022-08-21,Second_beach,KCCA18,2,4.4,1.8929749280471015,1.29102553249698,0.6019493955501216
2022-08-21,Second_beach,KCCA18,3,4,1.9515161604714812,1.2211918428091402,0.7303243176623411
2022-08-22,Wizard_I_North,KCCA19,1,4,1.0955593301297895,0.8715970649456457,0.22396226518414375
2022-08-22,Wizard_I_North,KCCA19,2,4,0.9496786595022542,1.1428343354384598,-0.19315567593620564
2022-08-22,Wizard_I_North,KCCA19,3,4,1.1835957134992285,1.3010048687978855,-0.11740915529865692
2022-09-01,Bordelais,KCCA21,2,3,3.150592754996728,2.540935407764658,0.6096573472320697
2022-09-01,Bordelais,KCCA21,1,3,2.9662354408994562,3.085698980434488,-0.11946353953503186
2022-09-01,Bordelais,KCCA21,3,3,2.857095910953872,2.8944589932775857,-0.03736308232371366
2022-09-05,Taylor_rock,KCCA22,1,1.7,1.1443333077691638,1.0571512642987841,0.08718204347037961
2022-09-05,Taylor_rock,KCCA22,2,1.9,1.1956597997693894,1.0137178004734806,0.18194199929590882
2022-09-05,Taylor_rock,KCCA22,3,1.7,1.4162408736101089,1.0483787603330847,0.3678621132770241
