SiteName,mean_bio_og,mean_bio_recalc,Biomass_kieran
Between Scotts and Bradys,1.82472,1.82472,1.73655
Bordelais Island,1.88559,1.88559,1.83403
Cable Beach (Blow Hole),2.43962,2.43962,2.35722
Danvers Danger Rock,0.90358,0.90358,0.7386
Dixon Island Back (Bay),0.95699,0.95698,0.95745
Dodger Channel 1,1.26136,1.26136,1.15148
Dodger Channel 2,2.88256,2.88256,2.98161
Ed King East Inside,9.34196,10.57776,8.85365
Flemming 112,1.71062,1.71062,1.63697
Flemming 114,0.69427,0.69427,0.70699
Less Dangerous Bay,0,0,0
Nanat Bay,0.81248,0.81248,0.7935
North Helby Rock,3.14586,3.14586,2.775
Ross Islet 2,3.68882,3.68882,3.48486
Ross Islet Slug Island,3.7464,3.7464,3.91035
Second Beach,7.0072,7.0072,6.81126
Second Beach South,16.02311,16.02311,17.61754
Swiss Boy,3.85038,3.85038,3.28218
Taylor Rock,8.52031,6.64727,5.91339
Turf Island 2,3.90908,3.90908,3.28471
Tzartus 116,1.95586,1.95586,1.8585
Wizard Islet North,0.06189,0.06189,0.06189
Wizard Islet South,4.5092,4.5092,4.263
